id;job_title;min_salary;max_salary
1;Administrateur des métriques humain;168;24283
2;Assistant de l'utilisabilité humain;4941;4874
3;Coordinateur de marque international;13785;513
4;Executif de configuration régional;13280;9883
5;Ingenieur de la mobilité national;29550;18833
6;Assistant des marchés régional;7124;629
7;Coordinateur des opérations principal;14127;31761
8;Producteur de la réponse client;3274;20582
9;Stagiaire de programme mondial;21457;27329
10;Producteur de la création international;9695;11027
