id;street_address;postal_code;city;state_province
1;à l'encontre de spécialiste nonobstant;absolument;Pessac;gravir
2;maintenant moyennant;gestionnaire comme proche de;Valence;sauvage
3;candide puisque;hormis acheter ah;Avignon;tard solitaire
4;concurrence présidence;chef de cuisine;Calais;après que alors que
5;rudement;échanger chez main-d’œuvre;Cergy;probablement
6;parce que étant donné que oui;atchoum cuicui vraiment;Aix-en-Provence;chef de cuisine après-demain
7;sympathique;à cause de dévorer;Troyes;par suite de
8;si bien que au cas où du côté de;psitt;Niort;pff
9;neutre instituer;personnel en vérité perplexe;Créteil;rechercher débile bè
10;hi du côté de de façon à ce que;mieux surprendre lorsque;Colmar;à l'exception de terriblement
